🙍‍♀,frowning,gesture,female,woman,,,,,
🙎,gesture,person pouting,pouting,,,,,,
🙎‍♂,gesture,man,male,pouting,,,,,
🙎‍♀,gesture,pouting,female,woman,,,,,
🙅,forbidden,gesture,person gesturing NO,hand,prohibited,X,,,
🙅‍♂,forbidden,gesture,man,hand,man gesturing NO,prohibited,X,male,
🙅‍♀,forbidden,gesture,prohibited,hand,woman,woman gesturing NO,X,female,
🙆,gesture,hand,person gesturing OK,OK,,,,,
🙆‍♂,gesture,hand,man gesturing OK,man,OK,male,,,
🙆‍♀,gesture,hand,woman,OK,woman gesturing OK,female,,,
💁,hand,help,person tipping hand,information,sassy,tipping,,,
💁‍♂,man,man tipping hand,tipping hand,sassy,male,,,,
💁‍♀,sassy,tipping hand,woman tipping hand,woman,female,,,,
🙋,gesture,hand,person raising hand,happy,raised,,,,
🙋‍♂,gesture,man,raising hand,man raising hand,male,,,,
🙋‍♀,gesture,raising hand,woman raising hand,woman,female,,,,
🧏,accessibility,deaf,ear,deaf person,hear,,,,
🧏‍♂,deaf,man,male,ear,hear,,,,
🧏‍♀,deaf,woman,female,ear,hear,,,,
🙇,apology,bow,person bowing,gesture,sorry,,,,
🙇‍♂,apology,bowing,gesture,favor,man,sorry,male,,
🙇‍♀,apology,bowing,gesture,favor,sorry,woman,female,,
🤦,disbelief,exasperation,palm,face,person facepalming,,,,
🤦‍♂,disbelief,exasperation,man,facepalm,man facepalming,male,,,
🤦‍♀,disbelief,exasperation,woman,facepalm,woman facepalming,female,,,
🤷,doubt,ignorance,person shrugging,indifference,shrug,,,,
🤷‍♂,doubt,ignorance,man,indifference,man shrugging,shrug,male,idk,don't know
🤷‍♀,doubt,ignorance,shrug,indifference,woman,woman shrugging,female,idk,don't know
🧑‍⚕,doctor,health worker,nurse,healthcare,therapist,,,,
👨‍⚕,doctor,healthcare,man health worker,man,nurse,therapist,male,,
👩‍⚕,doctor,healthcare,therapist,nurse,woman,woman health worker,female,,
🧑‍🎓,graduate,student,,,,,,,
👨‍🎓,graduate,man,male,student,,,,,
👩‍🎓,graduate,student,female,woman,,,,,
🧑‍🏫,instructor,professor,teacher,,,,,,
👨‍🏫,instructor,man,teacher,professor,male,,,,
👩‍🏫,instructor,professor,woman,teacher,female,,,,
🧑‍⚖,judge,justice,scales,law,court,,,,
👨‍⚖,judge,justice,scales,man,male,law,court,,
👩‍⚖,judge,justice,woman,scales,female,law,court,,
🧑‍🌾,farmer,gardener,rancher,,,,,,
👨‍🌾,farmer,gardener,rancher,man,male,,,,
👩‍🌾,farmer,gardener,woman,rancher,female,,,,
🧑‍🍳,chef,cook,,,,,,,
👨‍🍳,chef,cook,man,male,,,,,
👩‍🍳,chef,cook,woman,female,,,,,
🧑‍🔧,electrician,mechanic,tradesperson,plumber,,,,,
👨‍🔧,electrician,man,plumber,mechanic,tradesperson,male,,,
👩‍🔧,electrician,mechanic,tradesperson,plumber,woman,female,,,
🧑‍🏭,assembly,factory,worker,industrial,,,,,
👨‍🏭,assembly,factory,man,industrial,worker,male,,,
👩‍🏭,assembly,factory,woman,industrial,worker,female,,,
🧑‍💼,architect,business,office worker,manager,white-collar,,,,
👨‍💼,architect,business,man office worker,man,manager,white-collar,male,,
👩‍💼,architect,business,white-collar,manager,woman,woman office worker,female,,
